org.apache.tools.ant.taskdefs.MacroDef.MyAntTypeDefinition,0
org.apache.tools.ant.taskdefs.MacroDef.NestedSequential,0
org.apache.tools.ant.taskdefs.MacroDef.TemplateElement,11
org.apache.tools.ant.taskdefs.MacroDef.Text,34
org.apache.tools.ant.taskdefs.MacroInstance,21
org.apache.tools.ant.taskdefs.MacroInstance.Element,0
org.apache.tools.ant.taskdefs.MakeUrl,34
org.apache.tools.ant.taskdefs.Manifest,32
org.apache.tools.ant.taskdefs.Manifest.Attribute,27
org.apache.tools.ant.taskdefs.Manifest.Section,75
org.apache.tools.ant.taskdefs.ManifestClassPath,2
org.apache.tools.ant.taskdefs.ManifestException,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.ManifestTask,20
org.apache.tools.ant.taskdefs.ManifestTask.Mode,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.MatchingTask,0
org.apache.tools.ant.taskdefs.Mkdir,0
org.apache.tools.ant.taskdefs.Move,24
org.apache.tools.ant.taskdefs.Nice,0
org.apache.tools.ant.taskdefs.Pack,70
org.apache.tools.ant.taskdefs.Parallel,40
org.apache.tools.ant.taskdefs.Parallel.TaskList,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Parallel.TaskRunnable,4
org.apache.tools.ant.taskdefs.Patch,0
org.apache.tools.ant.taskdefs.PathConvert,154
org.apache.tools.ant.taskdefs.PathConvert.MapEntry,0
org.apache.tools.ant.taskdefs.PathConvert.TargetOs,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.PreSetDef,0
org.apache.tools.ant.taskdefs.PreSetDef.PreSetDefinition,45
org.apache.tools.ant.taskdefs.ProcessDestroyer,0
org.apache.tools.ant.taskdefs.ProcessDestroyer.ProcessDestroyerImpl,0
org.apache.tools.ant.taskdefs.ProjectHelperTask,0
org.apache.tools.ant.taskdefs.Property,700
org.apache.tools.ant.taskdefs.PropertyHelperTask,6
org.apache.tools.ant.taskdefs.PropertyHelperTask.DelegateElement,0
org.apache.tools.ant.taskdefs.PumpStreamHandler,52
org.apache.tools.ant.taskdefs.PumpStreamHandler.ThreadWithPumper,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Recorder,141
org.apache.tools.ant.taskdefs.Recorder.ActionChoices,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Recorder.VerbosityLevelChoices,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.RecorderEntry,244
org.apache.tools.ant.taskdefs.Redirector,225
org.apache.tools.ant.taskdefs.Redirector.PropertyOutputStream,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Rename,0
org.apache.tools.ant.taskdefs.Replace,274
org.apache.tools.ant.taskdefs.Replace.FileInput,1
org.apache.tools.ant.taskdefs.Replace.FileOutput,2
org.apache.tools.ant.taskdefs.Replace.NestedString,0
org.apache.tools.ant.taskdefs.Replace.Replacefilter,59
org.apache.tools.ant.taskdefs.ResourceCount,9
org.apache.tools.ant.taskdefs.Retry,2
org.apache.tools.ant.taskdefs.Rmic,1349
org.apache.tools.ant.taskdefs.Rmic.ImplementationSpecificArgument,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.SQLExec,930
org.apache.tools.ant.taskdefs.SQLExec.DelimiterType,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.SQLExec.OnError,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.SQLExec.Transaction,6
org.apache.tools.ant.taskdefs.SendEmail,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Sequential,0
org.apache.tools.ant.taskdefs.SignJar,224
org.apache.tools.ant.taskdefs.Sleep,28
org.apache.tools.ant.taskdefs.StreamPumper,20
org.apache.tools.ant.taskdefs.SubAnt,436
org.apache.tools.ant.taskdefs.Sync,37
org.apache.tools.ant.taskdefs.Sync.MyCopy,8
org.apache.tools.ant.taskdefs.Sync.SyncTarget,4
org.apache.tools.ant.taskdefs.Tar,144
org.apache.tools.ant.taskdefs.Tar.TarCompressionMethod,0
org.apache.tools.ant.taskdefs.Tar.TarFileSet,8
org.apache.tools.ant.taskdefs.Tar.TarLongFileMode,21
org.apache.tools.ant.taskdefs.TaskOutputStream,0
org.apache.tools.ant.taskdefs.Taskdef,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.TempFile,16
org.apache.tools.ant.taskdefs.Touch,119
org.apache.tools.ant.taskdefs.Touch.DateFormatFactory,1
org.apache.tools.ant.taskdefs.Transform,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Truncate,29
org.apache.tools.ant.taskdefs.Tstamp,2
org.apache.tools.ant.taskdefs.Tstamp.CustomFormat,12
org.apache.tools.ant.taskdefs.Tstamp.Unit,1
org.apache.tools.ant.taskdefs.Typedef,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Unpack,50
org.apache.tools.ant.taskdefs.Untar,13
org.apache.tools.ant.taskdefs.Untar.UntarCompressionMethod,0
org.apache.tools.ant.taskdefs.UpToDate,42
org.apache.tools.ant.taskdefs.VerifyJar,0
org.apache.tools.ant.taskdefs.VerifyJar.BufferingOutputFilter,0
org.apache.tools.ant.taskdefs.VerifyJar.BufferingOutputFilterReader,0
org.apache.tools.ant.taskdefs.WaitFor,35
org.apache.tools.ant.taskdefs.WaitFor.Unit,1
org.apache.tools.ant.taskdefs.War,28
org.apache.tools.ant.taskdefs.WhichResource,8
org.apache.tools.ant.taskdefs.XSLTLiaison,3
org.apache.tools.ant.taskdefs.XSLTLiaison2,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.XSLTLiaison3,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.XSLTLiaison4,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.XSLTLogger,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.XSLTLoggerAware,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.XSLTProcess,1355
org.apache.tools.ant.taskdefs.XSLTProcess.Factory,2
org.apache.tools.ant.taskdefs.XSLTProcess.Factory.Attribute,2
org.apache.tools.ant.taskdefs.XSLTProcess.OutputProperty,2
org.apache.tools.ant.taskdefs.XSLTProcess.Param,54
org.apache.tools.ant.taskdefs.XSLTProcess.StyleMapper,3
org.apache.tools.ant.taskdefs.XSLTProcess.TraceConfiguration,45
org.apache.tools.ant.taskdefs.XmlProperty,483
org.apache.tools.ant.taskdefs.Zip,2357
org.apache.tools.ant.taskdefs.Zip.ArchiveState,1
org.apache.tools.ant.taskdefs.Zip.Duplicate,Class contains less than 2 methods
